year,code,Finished consultant episodes,Admissions,Male,Emergency,Waiting list,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,FCE Bed Days
2009,B37 Candidiasis,4574,3615,2058,1715,1594,25,16,5.3,1,52,777,1405,1167,1187,1704,10926
2010,A15 Respiratory TB bacteriologically and histologically confirmed,1993,1117,1087,702,212,12,7,17.7,10,44,77,1341,275,245,288,17393
2010,A16 Respiratory TB not confirmed bacteriologically or histologically,2252,1269,1422,855,232,14,5,12.2,7,43,126,1522,281,270,262,14201
2010,A17 Tuberculosis of nervous system,599,293,357,185,20,20,10,27.9,15,37,49,409,77,31,28,8906
2010,A18 Tuberculosis of other organs,2113,1463,1287,816,260,25,13,12.5,7,38,58,1701,179,142,398,14485
2010,A19 Miliary tuberculosis,536,298,371,186,23,24,7,18.1,12,39,25,386,47,48,78,4388
2010,B15 Acute hepatitis A,243,160,157,147,6,19,12,4.1,3,31,48,164,19,5,9,686
2010,B16 Acute hepatitis B,486,356,341,166,120,36,26,5.6,4,39,9,413,45,5,137,1324
2010,B18 Chronic viral hepatitis,4599,4360,3123,242,1898,33,27,3.3,1,44,82,3882,452,51,3275,3682
2010,B37 Candidiasis,4828,3820,2175,1733,1717,23,16,5.6,1,53,725,1532,1273,1259,1891,11333
2011,A15 Respiratory TB bacteriologically and histologically confirmed,2230,1282,1350,742,296,11,7,17.5,9,43,52,1583,314,236,376,19223
2011,A16 Respiratory TB not confirmed bacteriologically or histologically,2141,1241,1378,811,274,9,5,12.9,7,44,133,1376,325,238,263,14741
2011,A17 Tuberculosis of nervous system,747,413,296,159,18,14,11,29.6,16,39,37,529,115,53,186,8373
2011,A18 Tuberculosis of other organs,1965,1233,1201,666,313,24,14,15,8,40,50,1528,218,127,323,15473
2011,A19 Miliary tuberculosis,507,235,315,174,20,11,6,20.1,13,42,18,359,65,40,29,5207
2011,B15 Acute hepatitis A,183,118,127,99,8,9,7,3.9,3,33,34,129,17,3,11,461
2011,B16 Acute hepatitis B,530,369,368,211,96,31,23,5.1,3,39,7,449,51,5,96,1532
2011,B18 Chronic viral hepatitis,3559,3315,2486,230,1835,32,26,3.3,1,45,104,2887,428,26,2319,3481
2011,B37 Candidiasis,4901,3827,2167,1594,1897,23,16,6.1,1,55,602,1581,1316,1351,2041,11385
2012,A15,2040,1092,1335,642,275,10,6,19.2,10,44,59,1422,270,227,284,19147
2012,A16,2223,1289,1396,801,310,13,6,12.1,6,41,204,1451,266,253,361,13138
2012,A17,619,268,392,173,18,17,10,31.7,15,39,28,479,62,36,25,9715
2012,A18,1895,1268,1161,609,308,23,11,16,8,38,136,1430,182,110,481,14151
2012,A19,437,167,255,125,14,22,6,23.9,14,45,19,292,60,45,15,5035
2012,B15,265,161,157,143,6,12,12,3.8,3,35,36,191,26,7,14,636
2012,B16,516,354,336,169,120,34,24,6.4,4,41,6,434,42,18,133,1651
2012,B18,3611,3347,2479,309,1949,35,26,3.2,1,45,95,2955,423,34,2298,3599
2012,B37,5263,4101,2399,1709,2095,22,14,6,1,56,703,1551,1413,1535,2235,11272
2013,A15,1888,1015,1178,572,302,9,6,20.6,10,44,20,1377,255,196,305,18427
2013,A16,2068,1176,1254,719,209,10,6,12.7,7,42,146,1350,284,190,347,12315
2013,A17,605,317,319,133,123,21,15,35.9,15,40,31,422,71,44,125,8819
2013,A18,1604,1012,966,540,240,21,11,14.3,8,41,42,1250,177,100,302,11444
2013,A19,440,175,280,129,17,8,6,24.7,13,45,18,288,52,52,15,5236
2013,B15,210,139,111,126,7,25,25,4,2,35,52,116,27,11,7,577
2013,B16,465,303,307,159,103,35,22,5.8,5,40,10,385,40,14,109,1326
2013,B18,3265,2963,2252,251,1749,31,21,5,1,46,67,2608,447,33,2055,4643
2013,B37,5522,4422,2511,1817,2282,22,14,4.7,1,55,738,1707,1500,1514,2431,10433
2014,A15,1847,944,1125,505,285,7,3,20.8,11,47,22,1247,259,261,332,16344
2014,A16,1653,844,1066,540,190,11,6,14.1,7,43,72,1137,185,196,198,11090
2014,A17,435,191,253,128,23,9,3,32.8,16,40,41,275,79,17,22,7498
2014,A18,1275,803,741,391,176,23,14,17.2,9,41,29,999,132,82,274,10629
2014,A19,430,163,294,128,19,57,12,23.1,15,48,11,275,58,61,15,4494
2014,B15,250,171,123,158,3,39,39,3.6,3,33,55,163,19,12,10,656
2014,B16,495,336,343,169,101,28,19,6.3,5,42,12,385,64,10,141,1349
2014,B18,2349,2126,1608,216,1109,39,22,5,1,45,32,1923,274,33,1581,2838
2014,B37,6088,4849,2777,1948,2538,22,14,5.2,1,56,766,1852,1620,1775,2721,11400
2015,A15,1862,886,1216,577,205,11,7,22,10,45.606,70,1284,233,230,216,17898
2015,A16,1650,955,1065,479,281,9,5,13,7,43.35,91,1142,202,165,369,9144
2015,A17,392,167,236,97,23,19,15,37,18,43.244,9,285,54,23,17,7135
2015,A18,1210,687,699,373,160,23,11,16,9,41.846,46,892,147,87,218,9026
2015,A19,425,156,236,120,8,4,4,22,15,47.889,12,252,71,69,20,4012
2015,B15,264,161,137,150,2,,,4,3,34.989,31,197,20,15,8,683
2015,B16,582,417,412,192,121,57,22,5,4,41.383,14,456,44,11,191,1337
2015,B18,1894,1712,1291,194,818,47,26,4,1,45.118,22,1472,252,24,1340,1937
2015,B37,6699,5395,3000,2213,2785,23,14,5,1,55.662,909,1995,1874,1865,2983,12086
2016,A15,1961,985,1417,521,226,11,6,20,10,45.304,50,1402,249,199,340,16898
2016,A16,1719,974,1162,511,220,15,6,13,7,43.094,131,1142,223,177,358,9458
2016,A17,514,181,274,116,22,13,7,31,14,44.915,9,368,105,13,28,6129
2016,A18,1242,723,699,321,250,14,7,17,9,40.516,44,929,126,107,293,8857
2016,A19,457,188,284,129,23,17,8,24,16,45.323,14,302,45,69,36,4333
